Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;
292990905000012;1;0;193810;193810;0;28;41;75;69;16;1;2;0;0;18;
292990905000013;1;0;77623;77623;0;14;35;43;26;2;1;2;0;0;2;
292990905000014;1;0;843664;843664;0;10;17;30;64;45;29;32;13;8;0;
292990905000015;1;0;331016;331016;0;15;32;57;74;27;15;7;2;0;2;
292990905000016;1;0;355834;355834;0;34;58;103;80;26;6;4;4;2;21;
292990905000017;1;2;180052;178752;1300;33;57;81;56;7;4;1;2;0;12;
292990905000018;1;0;86477;86477;0;30;25;45;30;2;1;0;0;0;31;
292990905000019;1;0;253894;253894;0;11;27;56;80;28;3;3;2;0;8;
292990905000020;1;0;353431;353431;0;3;5;23;51;46;8;10;8;2;4;
292990905000021;1;0;201981;201981;0;23;56;79;59;19;4;1;1;0;4;
292990905000022;5;0;24631;24631;0;10;6;5;15;1;0;0;0;0;6;
292990905000023;5;0;56227;56227;0;27;19;26;15;4;0;0;1;0;2;
292990905000024;5;1;185119;184619;500;81;56;78;67;13;1;0;0;0;23;
292990905000025;8;0;64013;64013;0;17;14;19;31;4;0;1;0;0;2;
292990905000026;8;0;50197;50197;0;12;20;21;22;2;0;0;0;0;0;
292990905000027;8;0;68138;68138;0;35;17;16;23;7;0;1;0;0;5;
292990905000028;8;0;64754;64754;0;37;23;33;23;1;0;0;0;0;2;
292990905000029;8;0;95876;95876;0;61;16;42;35;5;0;0;0;0;5;
292990905000030;8;0;36545;36545;0;14;20;10;10;2;1;1;0;0;14;
292990905000031;8;0;111804;111804;0;32;31;30;27;4;1;0;2;0;14;
292990905000032;5;0;33101;33101;0;8;9;20;11;1;0;0;0;0;4;
292990905000033;8;0;108409;108409;0;33;28;36;34;6;1;0;1;0;16;
292990905000034;8;0;49277;49277;0;15;16;20;13;7;0;0;0;0;1;
292990905000035;5;0;73781;73781;0;5;13;33;26;7;0;0;0;0;3;
292990905000036;8;0;8356;8356;0;9;1;4;6;0;0;0;0;0;3;
292990905000037;8;0;48074;48074;0;49;21;20;14;1;0;0;0;0;7;
292990905000038;8;0;83869;83869;0;52;12;29;33;7;0;0;0;0;3;
292990905000039;8;0;42530;42530;0;25;11;18;21;1;0;0;0;0;8;
292990905000040;8;0;72180;72180;0;29;25;24;30;5;0;1;0;0;3;
292990905000041;5;0;51327;51327;0;31;8;19;25;4;0;0;0;0;6;
292990905000042;8;0;72005;72005;0;51;27;33;28;0;0;0;0;0;17;
292990905000043;1;0;164845;164845;0;17;35;58;65;16;1;1;0;0;8;
292990905000044;1;0;227384;227384;0;18;36;65;77;22;5;2;2;0;6;
292990905000045;1;0;175381;175381;0;18;21;41;55;25;2;0;0;0;10;
292990905000046;8;0;60202;60202;0;23;16;27;28;2;0;0;0;0;1;
292990905000047;8;1;86539;86205;334;39;23;26;36;9;0;1;0;0;10;
292990905000048;8;0;74669;74669;0;23;27;34;25;0;1;0;0;0;25;
292990910000001;1;0;106929;106929;0;27;24;45;37;7;2;1;0;0;4;
292990910000002;8;0;124023;124023;0;37;31;40;58;16;0;0;0;0;5;
292990910000003;8;0;128269;128269;0;64;29;53;53;6;0;0;0;0;12;
292990910000004;5;0;160506;160506;0;41;33;50;53;14;2;0;0;0;6;
292990910000005;8;0;44511;44511;0;23;17;21;19;4;0;0;0;0;26;
292990910000006;8;0;38468;38468;0;17;9;12;13;4;0;0;0;0;3;
292990910000007;8;0;35206;35206;0;25;11;7;20;0;1;0;0;0;6;
292990910000008;5;0;45851;45851;0;10;8;9;22;7;1;0;0;0;1;
292990910000009;8;0;71873;71873;0;66;26;27;26;4;0;0;0;0;7;
292990910000010;5;0;33037;33037;0;21;11;11;14;1;0;0;0;0;8;
292990910000011;5;0;57350;57350;0;14;10;22;10;6;0;1;0;0;23;
292990910000012;5;0;46103;46103;0;10;6;13;23;6;1;0;0;0;0;
292990915000001;1;0;36522;36522;0;8;11;10;20;3;1;0;0;0;12;
292990915000002;8;0;158764;158764;0;104;47;69;48;11;0;0;0;0;1;
292990915000003;8;0;54818;54818;0;62;22;30;17;1;0;0;0;0;78;
292990915000004;8;0;110296;110296;0;20;17;36;46;11;1;2;0;0;10;
292990915000005;8;0;100638;100638;0;55;28;33;38;15;0;0;0;0;0;
292990915000006;8;0;99594;99594;0;77;35;35;32;5;2;0;0;0;7;
292990915000007;5;0;70502;70502;0;24;23;24;25;4;1;1;0;0;7;
292990915000008;5;4;141122;139582;1540;36;39;51;55;8;0;1;0;0;7;
292990915000009;5;0;90012;90012;0;22;17;22;25;7;4;0;0;0;0;
292990915000010;8;0;76903;76903;0;46;29;26;31;4;0;1;0;0;25;
292990915000011;8;0;74629;74629;0;33;28;24;27;6;0;0;0;0;2;
293000605000001;1;2;393535;391015;2520;18;47;91;129;27;7;10;0;0;9;
293000605000002;1;0;191409;191409;0;30;52;61;36;17;2;0;1;1;51;
293000605000003;8;0;12471;12471;0;2;2;2;7;1;0;0;0;0;1;
293000605000004;8;0;117648;117648;0;15;17;33;42;8;0;1;0;0;1;
293000605000005;5;0;47894;47894;0;22;12;18;14;1;0;0;0;0;17;
293000605000006;8;0;118274;118274;0;4;22;42;51;7;0;1;0;0;0;
293000605000007;8;0;30223;30223;0;1;11;7;6;5;0;0;0;0;3;
293000605000008;8;0;65591;65591;0;14;25;31;20;1;1;0;0;0;14;
293000605000009;8;0;111794;111794;0;25;41;37;28;9;2;0;0;0;2;
293000605000010;8;0;38820;38820;0;8;11;19;9;1;1;0;0;0;3;
293000605000011;8;0;144224;144224;0;8;15;31;44;14;0;0;0;0;0;
293000605000012;5;0;93304;93304;0;6;23;28;31;8;1;0;0;0;2;
293000605000013;5;0;82580;82580;0;43;29;34;12;4;1;1;0;0;52;
293000605000014;5;0;47050;47050;0;1;9;6;16;7;0;0;0;0;0;
293000605000015;1;0;314177;314177;0;13;21;83;93;20;8;2;2;0;12;
293000610000001;1;2;235147;234637;510;24;43;93;79;16;0;1;1;0;8;
293000610000002;8;0;17060;17060;0;0;3;9;4;1;0;0;0;0;0;
293000610000003;8;1;59402;58802;600;5;10;12;30;4;0;0;0;0;2;
293000610000004;8;0;2830;2830;0;0;2;2;0;0;1;0;0;0;0;
293000610000005;8;0;117239;117239;0;13;39;41;31;6;0;1;0;0;15;
293000610000006;8;0;73036;73036;0;16;33;45;13;1;1;0;1;0;2;
293000610000007;8;9;48473;46233;2240;15;32;27;10;0;0;0;0;0;3;
293010505000001;1;0;326168;326168;0;0;8;39;74;48;11;13;3;0;1;
293010505000002;1;2;430243;429643;600;2;7;48;78;55;23;15;6;0;0;
293010505000003;1;2;307226;305756;1470;3;10;41;81;42;8;12;2;0;3;
293010505000004;1;0;301027;301027;0;1;4;29;44;38;13;8;4;1;2;
293010505000005;1;1;127380;126870;510;7;23;61;41;11;2;0;0;0;11;
293010505000006;1;0;185268;185268;0;5;16;30;64;26;3;1;1;0;13;
293010505000007;1;1;420871;419581;1290;11;25;50;88;66;22;7;2;1;10;
293010505000008;1;0;92060;92060;0;5;11;33;27;7;2;3;0;0;1;
293010505000009;1;0;137697;137697;0;17;26;48;44;18;1;0;0;0;9;
293010505000010;1;2;177806;176764;1042;27;52;121;52;3;2;0;0;0;10;
293010505000011;1;0;99155;99155;0;25;22;54;30;11;0;1;0;0;3;
293010505000012;1;1;259744;258944;800;16;34;70;75;34;4;6;2;0;4;
293010505000013;1;1;229164;228364;800;58;72;109;73;14;3;2;0;0;11;
293010505000014;1;0;168764;168764;0;6;29;66;56;13;1;1;1;0;3;
293010505000015;1;1;499088;496788;2300;4;12;50;97;74;15;12;7;1;14;
293010505000016;1;0;197067;197067;0;12;31;61;47;20;7;2;0;0;8;
293010505000017;1;0;247278;247278;0;10;20;59;59;30;13;4;0;0;8;
293010505000018;1;0;208118;208118;0;6;28;70;70;27;2;1;1;0;12;
293010505000019;1;0;319247;319247;0;4;13;61;108;50;6;1;1;1;6;
293010505000020;1;1;268424;267614;810;7;28;60;87;42;6;5;0;1;5;
293010505000021;1;0;236461;236461;0;1;2;12;28;30;7;8;2;1;0;
293010505000022;1;0;447628;447628;0;1;6;33;44;53;22;12;8;2;10;
293010505000023;1;1;305180;304670;510;9;24;46;92;36;11;8;2;0;0;
293010505000024;1;0;262139;262139;0;10;38;86;105;32;3;2;0;0;10;
293010505000025;1;0;547991;547991;0;2;18;51;98;66;15;12;4;2;17;
293010505000026;1;3;936741;933831;2910;2;6;25;66;75;36;39;21;5;1;
293010505000027;1;0;523118;523118;0;0;3;10;36;54;24;31;17;2;2;
293010505000028;1;0;5178;5178;0;3;2;3;2;0;0;0;0;0;3;
293010505000029;1;0;508520;508520;0;4;3;25;59;58;17;15;6;2;5;
293010505000030;1;0;864392;864392;0;0;3;9;33;56;17;22;33;8;8;
293010505000031;1;1;756319;755319;1000;3;4;24;75;68;35;32;15;5;2;
293010505000032;1;0;787571;787571;0;1;9;21;42;50;26;29;26;5;10;
293010505000033;1;0;114200;114200;0;39;42;47;40;6;1;2;0;0;11;
293010505000034;1;0;432999;432999;0;5;16;59;108;64;19;9;5;0;4;
293010505000035;1;0;262573;262573;0;21;29;80;83;29;10;2;0;0;5;
293010505000036;1;0;127076;127076;0;6;11;35;38;16;1;3;0;0;5;
293010505000037;1;0;313536;313536;0;21;39;49;29;13;2;3;4;5;3;
293010505000038;1;0;351369;351369;0;6;27;51;82;45;12;10;3;0;14;
293010505000039;1;0;96610;96610;0;16;28;43;37;4;1;0;0;0;23;
293010505000040;1;0;85431;85431;0;21;26;44;26;7;1;0;0;0;10;
293010505000041;1;0;186011;186011;0;16;18;65;68;16;6;3;0;1;41;
293010505000042;1;1;184808;183298;1510;26;45;64;67;20;2;0;1;0;8;
293010505000043;1;0;230500;230500;0;0;9;39;52;32;8;6;0;1;4;
293010505000044;1;0;274497;274497;0;2;11;38;55;47;15;8;2;0;12;
293010505000045;1;0;72620;72620;0;14;37;31;29;2;0;0;0;0;16;
293010505000046;1;0;100465;100465;0;9;18;32;39;11;3;0;0;0;9;
293010505000047;1;0;189508;189508;0;14;29;74;64;17;4;1;0;0;6;
293010505000048;1;0;46260;46260;0;5;12;16;23;3;1;0;0;0;1;
293010505000049;1;0;219016;219016;0;11;43;71;67;18;2;2;1;1;50;
293010505000050;1;0;109330;109330;0;17;28;40;32;16;0;1;0;0;25;
293010505000051;1;3;150168;149500;668;18;31;61;53;10;3;1;1;0;4;
293010505000052;1;0;209596;209596;0;9;22;48;54;19;7;5;3;0;7;
293010505000053;1;0;210289;210289;0;32;51;101;79;6;1;1;1;0;23;
293010505000054;8;0;57471;57471;0;12;17;17;13;6;0;0;0;1;4;
293010505000055;8;0;74145;74145;0;12;21;33;29;4;0;1;0;0;4;
293010505000056;8;0;163206;163206;0;23;47;65;52;10;0;0;2;0;4;
293010505000057;8;0;82993;82993;0;67;38;35;25;0;0;1;0;0;21;
293010505000058;5;0;75522;75522;0;5;19;34;29;6;0;0;0;0;3;
293010505000059;8;0;42879;42879;0;10;14;14;8;0;0;0;1;0;2;
293010505000060;5;1;72454;72454;0;26;20;44;18;3;0;1;0;0;20;
293010505000061;5;0;32496;32496;0;8;9;15;16;2;1;0;0;0;1;
293010505000062;5;0;48791;48791;0;8;15;21;13;5;1;0;0;0;6;
293010505000063;5;0;71685;71685;0;15;19;38;27;2;0;1;1;0;7;
293010505000064;5;0;71159;71159;0;12;22;29;31;5;0;0;0;0;0;
293010505000065;8;1;90291;90051;240;50;41;39;30;8;1;0;0;0;4;
293010505000066;8;0;85021;85021;0;19;42;47;22;3;1;2;0;0;6;
293010505000067;8;0;70690;70690;0;16;8;15;13;2;0;1;2;1;2;
293010505000068;5;0;123304;123304;0;13;33;48;36;9;1;3;1;0;23;
293010505000069;5;0;114769;114769;0;7;30;54;43;7;0;0;0;0;3;
293010505000070;8;0;61191;61191;0;26;18;27;22;4;0;1;0;0;8;
293010505000071;1;4;460533;443613;16920;0;0;10;21;35;16;24;12;3;4;
293010505000072;1;0;172259;172259;0;40;51;74;62;10;2;1;0;0;15;
293010505000073;1;0;244244;244244;0;21;42;79;60;16;5;1;1;1;0;
293010505000074;1;0;182838;182838;0;20;34;82;66;12;3;0;0;0;4;
293010505000075;1;0;124758;124758;0;15;34;41;38;16;2;1;0;0;8;
293010505000076;1;0;169123;169123;0;5;9;32;34;28;7;3;1;0;3;
293010505000077;1;0;168769;168769;0;16;33;64;48;22;1;1;0;0;8;
293010505000078;1;0;151427;151427;0;17;43;77;50;15;0;2;0;0;9;
293010505000079;1;0;40823;40823;0;2;9;6;10;4;0;1;0;0;0;
293010505000080;1;0;347445;347445;0;0;0;8;25;33;28;20;11;1;3;
293010505000081;1;0;476069;476069;0;8;13;47;100;75;7;9;7;1;11;
293010505000082;1;0;288979;288979;0;3;8;46;55;44;15;6;1;0;2;
293010505000083;1;0;316790;316790;0;19;47;101;106;39;6;4;0;1;6;
293010505000084;1;0;127291;127291;0;3;17;37;27;20;1;3;1;0;3;
293010505000085;1;0;771579;771579;0;1;3;16;21;52;21;29;18;8;1;
293010505000086;1;0;874555;874555;0;2;10;28;62;66;31;31;18;6;4;
293010505000087;1;0;368785;368785;0;4;13;42;58;48;16;11;3;0;8;
293010505000088;1;0;178734;178734;0;16;25;59;59;19;0;2;0;0;6;
293010505000089;1;0;137896;137896;0;37;47;72;45;1;1;1;2;0;1;
293010505000090;1;0;54308;54308;0;16;21;22;18;6;0;0;0;0;17;
293010505000091;1;0;303327;303327;0;2;11;20;67;41;14;8;2;0;8;
293010505000092;1;0;195397;195397;0;8;18;58;60;30;2;1;1;0;0;
293010505000093;1;0;136625;136625;0;10;25;57;49;14;0;0;0;0;15;
293010505000094;1;0;197677;197677;0;9;22;49;57;29;3;2;1;0;7;
293010505000095;1;0;111433;111433;0;15;22;38;39;9;1;1;0;0;15;
293010505000096;5;0;129474;129474;0;30;53;54;48;10;1;0;0;0;9;
293010505000097;5;0;242757;242757;0;14;40;51;40;8;1;2;0;1;5;
293010515000001;1;0;193315;193315;0;17;26;42;58;14;6;3;3;0;17;
293010515000002;8;0;49905;49905;0;24;19;18;19;1;0;1;0;0;4;
293010515000003;8;0;84665;84665;0;54;27;52;24;3;1;1;0;0;8;
293010515000004;5;0;132865;132865;0;18;19;42;67;11;4;0;1;0;10;
293010515000005;8;0;82271;82271;0;37;26;34;41;5;1;0;0;0;17;
293010515000006;8;0;36408;36408;0;4;6;12;9;2;1;1;0;0;3;
293010515000007;8;0;68103;68103;0;8;14;21;38;6;0;0;0;0;2;
293010515000008;1;0;217055;217055;0;30;35;66;77;24;8;3;0;0;17;
293010515000009;8;0;87837;87837;0;71;26;41;38;2;0;0;0;0;20;
293010520000001;1;1;280016;278996;1020;39;60;113;115;19;4;0;0;0;9;
293010520000002;1;0;74014;74014;0;27;28;37;26;3;1;0;0;0;4;
293010520000003;1;1;60710;60310;400;18;26;44;16;4;0;1;0;0;0;
293010520000004;8;0;56572;56572;0;26;22;25;28;2;0;0;0;0;0;
293010520000005;8;0;77008;77008;0;40;34;32;25;1;0;0;1;0;9;
293010520000006;8;0;46822;46822;0;15;31;26;14;0;0;0;0;0;1;
293010520000007;8;0;54144;54144;0;23;22;28;18;3;0;0;0;0;4;
293010520000008;1;1;127832;127322;510;48;53;63;52;8;0;0;0;0;2;
293010520000009;1;0;104220;104220;0;36;44;46;36;6;1;0;1;0;1;
293010520000010;1;0;78828;78828;0;12;44;36;27;5;0;0;0;0;0;
293010520000011;1;0;96525;96525;0;22;23;32;39;11;3;0;0;0;11;
293010525000001;1;0;47849;47849;0;33;23;26;18;0;0;0;0;0;9;
293010525000002;8;0;47399;47399;0;15;14;20;24;2;0;0;0;0;1;
293010525000003;8;0;38353;38353;0;11;25;9;19;2;0;0;0;0;1;
293010525000004;8;0;11965;11965;0;4;7;6;7;0;1;0;0;0;0;
293010525000005;5;0;128303;128303;0;26;39;56;56;10;4;0;0;0;1;
293010525000006;5;0;65512;65512;0;14;18;25;27;9;2;1;0;0;17;
293010525000007;5;0;51772;51772;0;16;14;27;21;1;0;1;0;0;3;
293010525000008;8;0;107830;107830;0;47;45;50;42;7;0;0;0;0;4;
293010525000009;8;0;71702;71702;0;25;22;26;18;3;1;0;0;1;8;
293010525000010;1;1;145872;145072;800;64;36;60;66;11;2;0;0;0;12;
293010525000011;1;0;83726;83726;0;18;43;35;21;4;1;0;0;0;2;
293010525000012;5;0;58211;58211;0;25;24;21;22;7;1;0;1;0;5;
293010525000013;5;0;97375;97375;0;35;42;45;46;7;1;0;0;0;10;
293015405000001;1;0;368904;368904;0;29;36;69;100;30;9;4;2;2;43;
293015405000002;1;0;277001;277001;0;14;38;62;87;18;7;4;1;0;5;
293015405000003;1;1;208490;206670;1820;12;22;63;78;20;2;2;1;0;3;
293015405000004;1;1;1530;0;1530;0;0;0;1;0;0;0;0;0;0;
293015405000005;5;0;86641;86641;0;21;21;45;29;3;1;0;0;0;2;
293015405000006;5;0;79613;79613;0;34;18;31;44;3;0;0;0;0;36;
293015405000007;8;0;120540;120540;0;6;25;52;52;11;0;0;0;0;2;
293015405000008;5;0;156662;156662;0;47;38;59;58;4;1;2;1;0;42;
293015405000009;5;3;122631;119121;3510;24;36;35;44;8;1;1;0;1;8;
293015405000010;5;0;70853;70853;0;43;29;33;21;4;0;0;0;0;17;
293015405000011;8;0;38628;38628;0;24;15;19;14;1;0;0;0;0;3;
293015405000012;8;0;13351;13351;0;5;8;6;5;0;0;0;0;0;5;
293015405000013;5;1;110150;109506;644;36;41;53;44;4;0;0;0;0;5;
293015405000014;5;1;120740;120000;740;22;43;50;53;6;0;0;0;0;6;
293015405000015;5;0;127463;127463;0;43;47;59;51;9;0;0;0;0;1;
293015405000016;5;1;133633;132411;1222;31;46;55;57;10;0;0;1;0;2;
293015405000017;8;2;22774;22624;150;30;9;8;9;1;0;0;0;0;11;
293015405000018;5;0;74899;74899;0;35;20;24;25;5;0;1;0;0;15;
293015405000019;5;0;117717;117717;0;9;29;44;38;11;0;1;0;0;16;
293015405000020;5;0;89016;89016;0;54;17;49;35;3;0;0;0;0;34;
293015405000021;8;0;140086;140086;0;54;56;63;55;1;1;1;0;0;12;
293015405000022;5;0;181329;181329;0;26;51;71;62;11;1;0;0;0;16;
293015405000023;5;1;120160;119010;1150;57;33;55;33;8;1;0;0;0;76;
293015405000024;5;0;66693;66693;0;41;21;38;19;2;0;0;0;0;40;
293015405000025;5;0;157507;157507;0;23;46;73;50;11;0;0;0;0;9;
293015405000026;8;0;16233;16233;0;5;5;9;7;0;0;0;0;0;2;
293015405000027;5;0;48317;48317;0;11;22;25;27;0;0;0;0;0;4;
293015405000028;8;0;5956;5956;0;3;1;3;2;0;0;0;0;0;1;
293015405000029;5;0;131765;131765;0;20;25;75;37;12;0;1;0;0;22;
293015405000030;8;0;56188;56188;0;7;9;15;9;5;0;1;1;1;4;
293015405000031;8;0;19548;19548;0;10;8;11;6;1;0;0;0;0;7;
293015405000032;5;0;51488;51488;0;21;11;21;26;0;1;0;0;0;2;
293015405000033;5;0;20879;20879;0;26;13;7;8;0;0;0;0;0;5;
293015405000034;5;0;20150;20150;0;10;12;14;7;0;0;0;0;0;3;
293015405000035;5;1;45260;44960;300;21;15;24;14;0;0;0;0;0;10;
293015405000036;5;0;9380;9380;0;10;9;5;3;0;0;0;0;0;1;
293015405000037;5;0;202588;202588;0;32;39;63;81;22;2;2;0;0;7;
293015405000038;8;0;5415;5415;0;0;2;5;2;0;0;0;0;0;1;
293015405000039;8;0;10976;10976;0;1;3;3;1;0;1;0;0;0;0;
293015405000040;8;1;74930;74718;212;36;33;18;24;3;0;2;0;0;8;
293015405000041;5;0;42465;42465;0;48;20;20;9;0;0;0;0;0;16;
293015405000042;5;0;17650;17650;0;30;8;4;6;0;0;0;0;0;1;
293015405000043;8;0;11020;11020;0;7;3;8;1;1;0;0;0;0;0;
293015405000044;8;0;6750;6750;0;1;0;5;3;0;0;0;0;0;1;
293015405000045;8;0;16307;16307;0;12;8;10;4;0;0;0;0;0;14;
293015405000046;5;0;113842;113842;0;13;28;51;30;5;1;1;1;0;4;
293015405000047;1;0;129092;129092;0;17;20;49;45;15;2;0;0;0;7;
293015405000048;1;0;122376;122376;0;21;22;51;32;16;2;0;1;0;11;
293015405000049;1;0;141794;141794;0;15;26;42;38;15;3;1;0;0;24;
293015405000050;1;0;360619;360619;0;27;54;74;79;30;7;5;3;1;25;
293015405000051;1;0;97169;97169;0;28;27;32;42;5;1;0;1;0;37;
